NAZIONE;CIRCOSCRIZIONE;ELETT_M;ELETT_F;ELETT_TOT;VOT_M;VOT_F;VOT_TOT;NULLE;BIANCHE;CONTESTATE
LETTONIA;II : ITALIA NORD-ORIENTALE;0;0;0;0;0;0;0;0;0
LETTONIA;III : ITALIA CENTRALE;62;11;73;43;7;50;0;0;0
LETTONIA;IV : ITALIA MERIDIONALE;130;9;139;100;6;106;0;0;0
LETTONIA;V : ITALIA INSULARE;116;32;148;28;9;37;0;1;0
LITUANIA;I : ITALIA NORD-OCCIDENTALE;0;0;0;0;0;0;0;0;0
LITUANIA;II : ITALIA NORD-ORIENTALE;47;7;54;18;4;22;0;0;0
LITUANIA;III : ITALIA CENTRALE;39;18;57;19;6;25;0;0;0
LITUANIA;IV : ITALIA MERIDIONALE;39;9;48;11;9;20;0;0;0
LITUANIA;V : ITALIA INSULARE;0;0;0;0;0;0;0;0;0
LUSSEMBURGO;I : ITALIA NORD-OCCIDENTALE;1644;1322;2966;450;433;883;13;2;0
LUSSEMBURGO;II : ITALIA NORD-ORIENTALE;1418;1456;2874;292;238;530;16;7;0
LUSSEMBURGO;III : ITALIA CENTRALE;1764;1784;3548;330;346;676;18;4;0
LUSSEMBURGO;IV : ITALIA MERIDIONALE;3992;3381;7373;537;418;955;141;20;0
LUSSEMBURGO;V : ITALIA INSULARE;818;583;1401;133;85;218;4;3;0
MALTA;I : ITALIA NORD-OCCIDENTALE;430;289;719;82;59;141;0;0;0
MALTA;II : ITALIA NORD-ORIENTALE;251;171;422;48;33;81;0;1;0
MALTA;III : ITALIA CENTRALE;419;273;692;63;64;127;1;0;0
MALTA;IV : ITALIA MERIDIONALE;536;338;874;51;42;93;1;0;0
MALTA;V : ITALIA INSULARE;1123;616;1739;118;70;188;3;1;0
PAESI BASSI;I : ITALIA NORD-OCCIDENTALE;3769;3318;7087;668;530;1198;13;4;0
PAESI BASSI;II : ITALIA NORD-ORIENTALE;3079;2868;5947;367;509;876;17;1;2
PAESI BASSI;III : ITALIA CENTRALE;2896;2405;5301;536;420;956;11;1;0
PAESI BASSI;IV : ITALIA MERIDIONALE;3917;2922;6839;344;243;587;35;2;0
PAESI BASSI;V : ITALIA INSULARE;5240;4412;9652;211;161;372;9;2;0
POLONIA;I : ITALIA NORD-OCCIDENTALE;957;449;1406;125;73;198;3;0;0
POLONIA;II : ITALIA NORD-ORIENTALE;653;281;934;100;44;144;1;0;0
POLONIA;III : ITALIA CENTRALE;687;364;1051;98;36;134;6;0;0
POLONIA;IV : ITALIA MERIDIONALE;563;211;774;80;25;105;0;1;0
POLONIA;V : ITALIA INSULARE;330;134;464;50;11;61;1;0;0
PORTOGALLO;I : ITALIA NORD-OCCIDENTALE;1831;1197;3028;429;288;717;8;6;0
PORTOGALLO;II : ITALIA NORD-ORIENTALE;1192;901;2093;247;145;392;20;2;0
PORTOGALLO;III : ITALIA CENTRALE;1542;950;2492;379;219;598;11;3;0
PORTOGALLO;IV : ITALIA MERIDIONALE;968;724;1692;171;72;243;3;0;0
PORTOGALLO;V : ITALIA INSULARE;363;261;624;60;67;127;22;0;0
REGNO UNITO;I : ITALIA NORD-OCCIDENTALE;28914;25689;54603;2407;2179;4586;154;10;0
REGNO UNITO;II : ITALIA NORD-ORIENTALE;26090;23306;49396;1674;2260;3934;311;25;0
REGNO UNITO;III : ITALIA CENTRALE;26508;23647;50155;2021;1812;3833;148;5;2
